year,month,day,mintempi,meantempi,maxtempi,maxvisi,meanvisi,minvisi,fog,humidity,precipi,thunder,hail,snow,snowdepthi,snowfalli,monthtodatesnowfalli,meanwindspdi,rain,mintempm,precipsource
2013,12,25,19,25,31,10,10,10,0,,0.00,0,0,0,0.00,0.00,8.60,5,0,-7,
2013,12,24,26,34,42,10,10,10,0,,T,0,0,0,0.00,T,8.60,8,0,-3,
2013,12,23,42,53,64,10,6,2,0,,0.51,0,0,0,0.00,0.00,8.60,5,1,6,
2013,12,22,61,66,71,10,10,10,0,,T,0,0,0,0.00,0.00,8.60,6,0,16,
2013,12,21,51,58,65,10,10,9,0,,0.01,0,0,0,1.00,0.00,8.60,8,0,11,
2013,12,20,41,47,53,10,10,10,0,,0.00,0,0,0,3.00,0.00,8.60,5,0,5,
2013,12,19,30,39,47,10,10,9,0,,0.00,0,0,0,3.00,0.00,8.60,5,0,-1,
2013,12,18,23,30,37,10,10,8,0,,0.00,0,0,0,4.00,0.00,8.20,7,0,-5,
2013,12,17,24,28,32,10,4,0,1,,0.19,0,0,1,3.00,1.10,8.20,6,1,-4,
2013,12,16,25,29,33,10,10,10,0,,0.00,0,0,0,2.00,0.00,7.10,8,0,-4,
2013,12,15,30,35,40,10,8,2,0,,0.72,0,0,0,3.00,0.00,7.10,9,1,-1,
2013,12,14,22,28,34,10,3,0,1,,0.73,0,0,1,0.00,5.00,7.10,10,1,-6,
2013,12,13,23,29,35,10,10,10,0,,0.00,0,0,0,0.00,0.00,2.10,6,0,-5,
2013,12,12,23,27,30,10,10,10,0,,0.00,0,0,0,0.00,0.00,1.50,7,0,-5,
2013,12,11,27,30,33,10,10,10,0,,0.00,0,0,0,0.00,0.00,1.50,8,0,-3,
2013,12,10,30,34,37,10,5,0,1,,0.23,0,0,1,0.00,1.40,1.50,6,0,-1,
2013,12,09,31,35,39,10,4,1,0,,0.30,0,0,1,0.00,T,0.10,7,1,-1,
2013,12,08,29,31,33,10,6,1,0,,0.08,0,0,1,0.00,0.10,0.10,6,1,-2,
2013,12,07,32,37,41,10,9,3,0,,0.14,0,0,0,0.00,T,T,6,1,0,
2013,12,06,37,50,62,10,6,2,0,,0.73,0,0,0,0.00,0.00,0.00,6,1,3,
2013,12,05,48,54,60,9,4,0,1,,0.01,0,0,0,0.00,0.00,0.00,2,1,9,
2013,12,04,41,47,52,7,6,4,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,5,
2013,12,03,38,46,53,10,7,5,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,3,
2013,12,02,41,45,49,10,8,6,0,,0.00,0,0,0,0.00,0.00,0.00,3,0,5,
2013,12,01,36,43,49,10,10,10,0,,0.00,0,0,0,0.00,0.00,0.00,2,0,2,
2013,11,30,25,32,39,10,10,10,0,,0.00,0,0,0,0.00,0.00,T,5,0,-4,
2013,11,29,29,34,39,10,10,10,0,,0.00,0,0,0,0.00,0.00,T,4,0,-2,
2013,11,28,30,33,35,10,10,10,0,,0.00,0,0,0,0.00,0.00,T,7,0,-1,
2013,11,27,35,49,62,10,6,1,0,,1.98,0,0,0,0.00,0.00,T,10,1,2,
2013,11,26,33,40,47,10,7,2,0,,0.51,0,0,0,0.00,T,T,4,1,1,
